x,y,strength,radius,title
0.24514006078243256,0.18967300653457642,198,2, Introduction to G Suite
0.18433155119419098,0.15536195039749146,201,2,Operating Systems and You: Becoming a Power User
-0.701361358165741,-0.10671672224998474,242,2,Java Programming: Solving Problems with Software
0.23123955726623535,0.1563204675912857,198,2,AWS Fundamentals: Addressing Security Risk
0.34446603059768677,-0.7980132699012756,181,2,Introduction to Web Development
-0.5456450581550598,0.01553350780159235,196,2,Data Management for Clinical Research
0.3646520972251892,-0.44927775859832764,177,2,International Women's Health and Human Rights
0.3653789758682251,0.9428437948226929,170,2,"FinTech: Foundations, Payments, and Regulations"
0.853655993938446,0.014723612926900387,216,2,Terrorism and Counterterrorism: Comparing Theory and Practice
0.8401729464530945,-0.0258617140352726,219,2,An Introduction to American Law
